Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201601,348,31080,C,Los Angeles-Long Beach-Anaheim  CA ,498,498,187328,29,58,11018,2,6,2111,31,1567,148345,427,427,159283,27,54,9685,0,0,0,21,1420,126040
201601,348,37100, ,Oxnard-Thousand Oaks-Ventura  CA ,6,6,1507,0,0,0,1,4,619,1,36,4324,0,0,0,0,0,0,0,0,0,0,0,0
201601,348,40140, ,Riverside-San Bernardino-Ontario  CA ,404,404,94053,0,0,0,2,6,594,16,228,28241,370,370,87682,0,0,0,1,3,311,13,211,26911
201601,350,21060, ,Elizabethtown-Fort Knox  KY ,12,12,2614,1,2,335,0,0,0,0,0,0,10,10,2183,1,2,335,0,0,0,0,0,0
201601,350,31140, ,Louisville-Jefferson County  KY-IN ,186,186,40757,6,12,1225,0,0,0,19,269,13220,90,90,19997,4,8,982,0,0,0,7,168,7000
201601,352,31180, ,Lubbock  TX ,73,73,16698,2,4,415,0,0,0,6,78,4510,2,2,450,0,0,0,0,0,0,0,0,0
201601,356,31420, ,Macon-Bibb County  GA ,11,11,1861,0,0,0,0,0,0,0,0,0,11,11,1861,0,0,0,0,0,0,0,0,0
201601,356,47580, ,Warner Robins  GA ,47,47,9303,0,0,0,0,0,0,0,0,0,45,45,9147,0,0,0,0,0,0,0,0,0
201601,357,27500, ,Janesville-Beloit  WI ,8,8,2047,0,0,0,0,0,0,0,0,0,8,8,2047,0,0,0,0,0,0,0,0,0
201601,357,31540, ,Madison  WI ,71,71,20408,2,4,792,0,0,0,3,427,67812,65,65,18662,2,4,792,0,0,0,2,405,65800
201601,358,31740, ,Manhattan  KS ,21,21,4831,1,2,254,0,0,0,0,0,0,21,21,4831,1,2,254,0,0,0,0,0,0
201601,359,31860, ,Mankato-North Mankato  MN ,5,5,908,1,2,180,0,0,0,1,11,856,0,0,0,0,0,0,0,0,0,0,0,0
201601,365,32580,C,McAllen-Edinburg-Mission  TX ,214,214,39675,1,2,124,5,19,860,1,168,11715,204,204,38734,1,2,124,5,19,860,1,168,11715
201601,366,32780, ,Medford  OR ,34,34,6746,0,0,0,1,3,453,0,0,0,34,34,6746,0,0,0,1,3,453,0,0,0
201601,368,32820, ,Memphis  TN-MS-AR ,205,205,36587,3,6,522,0,0,0,3,40,3483,172,172,30946,3,6,522,0,0,0,3,40,3483
201601,370,33100, ,Miami-Fort Lauderdale-West Palm Beach  FL ,426,426,150566,5,10,1856,4,15,2866,29,1002,116579,395,395,137184,5,10,1856,4,15,2866,25,962,103860
201601,370,38940, ,Port St. Lucie  FL ,96,96,24897,0,0,0,0,0,0,0,0,0,96,96,24897,0,0,0,0,0,0,0,0,0
201601,370,42680, ,Sebastian-Vero Beach  FL ,91,91,40973,0,0,0,0,0,0,0,0,0,91,91,40973,0,0,0,0,0,0,0,0,0
201601,372,33260, ,Midland  TX ,38,38,7951,0,0,0,11,40,9508,0,0,0,38,38,7951,0,0,0,11,40,9508,0,0,0
201601,372,36220,C,Odessa  TX ,22,22,4166,0,0,0,0,0,0,0,0,0,22,22,4166,0,0,0,0,0,0,0,0,0
201601,376,33340,C,Milwaukee-Waukesha-West Allis  WI ,86,86,28502,1,2,326,0,0,0,4,73,6959,71,71,22383,1,2,326,0,0,0,1,57,4993
201601,376,39540, ,Racine  WI ,7,7,1846,0,0,0,0,0,0,0,0,0,3,3,800,0,0,0,0,0,0,0,0,0
201601,378,33460, ,Minneapolis-St. Paul-Bloomington  MN-WI ,352,352,112190,0,0,0,2,7,1858,3,23,3017,309,309,98607,0,0,0,1,4,1171,0,0,0
201601,378,41060, ,St. Cloud  MN ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,380,19300, ,Daphne-Fairhope-Foley  AL ,112,112,21790,0,0,0,0,0,0,0,0,0,89,89,18053,0,0,0,0,0,0,0,0,0
201601,380,33660, ,Mobile  AL ,75,75,16242,0,0,0,0,0,0,0,0,0,74,74,16168,0,0,0,0,0,0,0,0,0
201601,382,32900, ,Merced  CA ,9,9,1944,0,0,0,0,0,0,0,0,0,9,9,1944,0,0,0,0,0,0,0,0,0
201601,382,33700, ,Modesto  CA ,10,10,1418,0,0,0,0,0,0,0,0,0,10,10,1418,0,0,0,0,0,0,0,0,0
201601,384,33740, ,Monroe  LA ,34,34,6692,0,0,0,1,3,472,1,5,579,0,0,0,0,0,0,0,0,0,0,0,0
201601,390,34060, ,Morgantown  WV ,2,2,150,0,0,0,0,0,0,0,0,0,2,2,150,0,0,0,0,0,0,0,0,0
201601,396,34820, ,Myrtle Beach-Conway-North Myrtle Beach  SC-NC ,361,361,69011,11,22,1096,1,4,480,1,8,575,249,249,41298,11,22,1096,1,4,480,1,8,575
201601,400,34980, ,Nashville-Davidson--Murfreesboro--Franklin  TN ,759,759,186413,3,6,951,2,8,372,12,924,38565,675,675,173054,3,6,951,2,8,372,11,919,38312
201601,406,25220, ,Hammond  LA ,86,86,13741,0,0,0,0,0,0,0,0,0,81,81,12991,0,0,0,0,0,0,0,0,0
201601,406,35380, ,New Orleans-Metairie  LA ,160,160,35520,2,4,520,0,0,0,0,0,0,125,125,28792,1,2,168,0,0,0,0,0,0
201601,408,10900, ,Allentown-Bethlehem-Easton  PA-NJ ,16,16,3431,0,0,0,0,0,0,0,0,0,9,9,2315,0,0,0,0,0,0,0,0,0
201601,408,14860,C,Bridgeport-Stamford-Norwalk  CT ,50,50,29904,0,0,0,0,0,0,1,5,299,31,31,13961,0,0,0,0,0,0,0,0,0
201601,408,20700, ,East Stroudsburg  PA ,3,3,1033,0,0,0,0,0,0,0,0,0,3,3,1033,0,0,0,0,0,0,0,0,0
201601,408,28740, ,Kingston  NY ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201601,408,35300, ,New Haven-Milford  CT ,10,10,1525,0,0,0,0,0,0,1,5,308,4,4,631,0,0,0,0,0,0,0,0,0
201601,408,35620, ,New York-Newark-Jersey City  NY-NJ-PA ,657,657,183508,59,118,14844,20,66,6618,55,708,65776,467,467,133649,49,98,12393,14,47,4737,20,484,47488
201601,408,45940,C,Trenton  NJ ,8,8,4405,0,0,0,0,0,0,2,27,2282,4,4,1557,0,0,0,0,0,0,1,22,1896
201601,412,35840,C,North Port-Sarasota-Bradenton  FL ,397,397,95522,1,2,710,4,16,2549,1,24,1700,396,396,95234,1,2,710,4,16,2549,1,24,1700
201601,412,39460, ,Punta Gorda  FL ,81,81,17491,0,0,0,0,0,0,0,0,0,81,81,17491,0,0,0,0,0,0,0,0,0
201601,416,36420,C,Oklahoma City  OK ,412,412,98110,4,8,841,0,0,0,23,303,16115,119,119,38282,1,2,240,0,0,0,20,222,9731
201601,420,36540, ,Omaha-Council Bluffs  NE-IA ,161,161,35577,0,0,0,0,0,0,4,43,3076,135,135,29320,0,0,0,0,0,0,3,38,2463
201601,422,19660, ,Deltona-Daytona Beach-Ormond Beach  FL ,99,99,30123,0,0,0,0,0,0,1,13,1105,73,73,22668,0,0,0,0,0,0,0,0,0
201601,422,36740, ,Orlando-Kissimmee-Sanford  FL ,875,875,229286,8,16,2938,1,4,647,9,385,62702,781,781,201504,8,16,2938,1,4,647,7,345,58295
201601,422,45540, ,The Villages  FL ,73,73,20016,0,0,0,0,0,0,0,0,0,73,73,20016,0,0,0,0,0,0,0,0,0
201601,425,37620, ,Parkersburg-Vienna  WV ,2,2,713,0,0,0,0,0,0,0,0,0,2,2,713,0,0,0,0,0,0,0,0,0
201601,426,37860,C,Pensacola-Ferry Pass-Brent  FL ,138,138,30996,0,0,0,0,0,0,0,0,0,138,138,30996,0,0,0,0,0,0,0,0,0
