01 16 Survey,FIPS,FIPS,Region,Division,County,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,, 5+units rep
01 16 Date,State,County,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
01 16  
01 16 201601,12,003,3,5,Baker County                  ,8,8,1772068,0,0,0,0,0,0,0,0,0,8,8,1772068,0,0,0,0,0,0,0,0,0
01 16 201601,12,019,3,5,Clay County                   ,60,60,12853205,0,0,0,0,0,0,0,0,0,60,60,12853205,0,0,0,0,0,0,0,0,0
01 16 201601,12,031,3,5,Duval County                  ,226,226,52728504,0,0,0,0,0,0,1,24,2273741,224,224,51871785,0,0,0,0,0,0,1,24,2273741
01 16 201601,12,033,3,5,Escambia County               ,60,60,13394263,0,0,0,0,0,0,0,0,0,60,60,13394263,0,0,0,0,0,0,0,0,0
01 16 201601,12,053,3,5,Hernando County               ,38,38,7836772,0,0,0,0,0,0,1,16,2314000,38,38,7836772,0,0,0,0,0,0,1,16,2314000
01 16 201601,12,057,3,5,Hillsborough County           ,445,445,154422750,0,0,0,0,0,0,8,200,39126371,445,445,154422750,0,0,0,0,0,0,8,200,39126371
01 16 201601,12,067,3,5,Lafayette County              ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,12,071,3,5,Lee County                    ,295,295,68989417,4,8,394940,0,0,0,2,36,5845120,295,295,68989417,4,8,394940,0,0,0,2,36,5845120
01 16 201601,12,073,3,5,Leon County                   ,39,39,7545719,0,0,0,1,3,390000,2,45,4598652,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,12,081,3,5,Manatee County                ,237,237,54066645,0,0,0,3,12,1991060,1,24,1700000,236,236,53778756,0,0,0,3,12,1991060,1,24,1700000
01 16 201601,12,086,3,5,Miami-Dade County             ,201,201,62357515,5,10,1856234,4,15,2865922,25,688,57619424,194,194,59138245,5,10,1856234,4,15,2865922,23,677,46767330
01 16 201601,12,089,3,5,Nassau County                 ,49,49,14399102,0,0,0,0,0,0,0,0,0,49,49,14399102,0,0,0,0,0,0,0,0,0
01 16 201601,12,091,3,5,Okaloosa County               ,65,65,19087085,0,0,0,1,4,573520,0,0,0,61,61,18541037,0,0,0,1,4,573520,0,0,0
01 16 201601,12,095,3,5,Orange County                 ,441,441,107959509,6,12,2330728,0,0,0,3,210,47072844,441,441,107959509,6,12,2330728,0,0,0,3,210,47072844
01 16 201601,12,097,3,5,Osceola County                ,219,219,61721571,0,0,0,1,4,647130,2,119,8115944,219,219,61721571,0,0,0,1,4,647130,2,119,8115944
01 16 201601,12,101,3,5,Pasco County                  ,149,149,28482014,3,6,548405,6,24,721163,7,317,23405300,148,148,28362014,3,6,548405,6,24,721163,6,312,23032774
01 16 201601,12,103,3,5,Pinellas County               ,174,174,44348087,2,4,466040,0,0,0,2,400,37771591,171,171,43287747,2,4,466040,0,0,0,1,366,36000000
01 16 201601,12,109,3,5,St. Johns County              ,292,292,77080002,0,0,0,1,4,731654,0,0,0,287,287,76071189,0,0,0,1,4,731654,0,0,0
01 16 201601,12,113,3,5,Santa Rosa County             ,78,78,17602120,0,0,0,0,0,0,0,0,0,78,78,17602120,0,0,0,0,0,0,0,0,0
01 16 201601,12,115,3,5,Sarasota County               ,160,160,41455110,1,2,710000,1,4,557900,0,0,0,160,160,41455110,1,2,710000,1,4,557900,0,0,0
01 16 201601,12,117,3,5,Seminole County               ,50,50,16484003,2,4,607464,0,0,0,3,35,4683356,50,50,16484003,2,4,607464,0,0,0,2,16,3106059
01 16 201601,12,129,3,5,Wakulla County                ,9,9,877474,0,0,0,0,0,0,0,0,0,9,9,877474,0,0,0,0,0,0,0,0,0
01 16 201601,12,131,3,5,Walton County                 ,140,140,57991783,0,0,0,0,0,0,0,0,0,140,140,57991783,0,0,0,0,0,0,0,0,0
01 16 201601,12,133,3,5,Washington County             ,2,2,317657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,007,3,5,Baker County                  ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,013,3,5,Barrow County                 ,18,18,2525700,0,0,0,0,0,0,0,0,0,14,14,2115935,0,0,0,0,0,0,0,0,0
01 16 201601,13,015,3,5,Bartow County                 ,25,25,4614757,0,0,0,0,0,0,0,0,0,13,13,2154325,0,0,0,0,0,0,0,0,0
01 16 201601,13,021,3,5,Bibb County                   ,7,7,1109128,0,0,0,0,0,0,0,0,0,7,7,1109128,0,0,0,0,0,0,0,0,0
01 16 201601,13,029,3,5,Bryan County                  ,22,22,6401174,0,0,0,0,0,0,0,0,0,22,22,6401174,0,0,0,0,0,0,0,0,0
01 16 201601,13,033,3,5,Burke County                  ,3,3,495025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,035,3,5,Butts County                  ,2,2,329300,0,0,0,0,0,0,0,0,0,2,2,329300,0,0,0,0,0,0,0,0,0
01 16 201601,13,045,3,5,Carroll County                ,13,13,2623759,0,0,0,0,0,0,0,0,0,13,13,2623759,0,0,0,0,0,0,0,0,0
01 16 201601,13,051,3,5,Chatham County                ,61,61,13466664,0,0,0,0,0,0,0,0,0,61,61,13466664,0,0,0,0,0,0,0,0,0
01 16 201601,13,057,3,5,Cherokee County               ,124,124,31986946,0,0,0,0,0,0,3,36,8523990,124,124,31986946,0,0,0,0,0,0,3,36,8523990
01 16 201601,13,059,3,5,Clarke County                 ,8,8,1464334,0,0,0,0,0,0,0,0,0,8,8,1464334,0,0,0,0,0,0,0,0,0
01 16 201601,13,063,3,5,Clayton County                ,53,53,12334621,0,0,0,0,0,0,0,0,0,51,51,11509078,0,0,0,0,0,0,0,0,0
01 16 201601,13,067,3,5,Cobb County                   ,165,165,44433750,0,0,0,0,0,0,1,24,3590826,161,161,43189517,0,0,0,0,0,0,1,24,3590826
01 16 201601,13,073,3,5,Columbia County               ,102,102,17411943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,077,3,5,Coweta County                 ,51,51,17171654,0,0,0,0,0,0,0,0,0,26,26,9722724,0,0,0,0,0,0,0,0,0
01 16 201601,13,085,3,5,Dawson County                 ,17,17,4202000,0,0,0,0,0,0,0,0,0,17,17,4202000,0,0,0,0,0,0,0,0,0
01 16 201601,13,095,3,5,Dougherty County              ,3,3,331148,1,2,150110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,097,3,5,Douglas County                ,27,27,4493740,0,0,0,0,0,0,0,0,0,27,27,4493740,0,0,0,0,0,0,0,0,0
01 16 201601,13,111,3,5,Fannin County                 ,19,19,3708181,0,0,0,0,0,0,0,0,0,19,19,3708181,0,0,0,0,0,0,0,0,0
01 16 201601,13,113,3,5,Fayette County                ,18,18,4175547,0,0,0,0,0,0,0,0,0,17,17,3835168,0,0,0,0,0,0,0,0,0
01 16 201601,13,117,3,5,Forsyth County                ,195,195,27022113,0,0,0,0,0,0,0,0,0,195,195,27022113,0,0,0,0,0,0,0,0,0
01 16 201601,13,121,3,5,Fulton County                 ,208,208,52998451,0,0,0,0,0,0,6,1004,155462797,202,202,51860663,0,0,0,0,0,0,5,993,154782391
01 16 201601,13,127,3,5,Glynn County                  ,33,33,8704599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,135,3,5,Gwinnett County               ,272,272,59124885,0,0,0,0,0,0,0,0,0,265,265,57432811,0,0,0,0,0,0,0,0,0
01 16 201601,13,143,3,5,Haralson County               ,1,1,182878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,145,3,5,Harris County                 ,11,11,2693275,0,0,0,0,0,0,0,0,0,11,11,2693275,0,0,0,0,0,0,0,0,0
01 16 201601,13,149,3,5,Heard County                  ,1,1,121712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,151,3,5,Henry County                  ,80,80,15733704,0,0,0,0,0,0,0,0,0,80,80,15733704,0,0,0,0,0,0,0,0,0
01 16 201601,13,159,3,5,Jasper County                 ,4,4,535896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,171,3,5,Lamar County                  ,7,7,737048,0,0,0,0,0,0,0,0,0,7,7,737048,0,0,0,0,0,0,0,0,0
01 16 201601,13,177,3,5,Lee County                    ,14,14,1665868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,179,3,5,Liberty County                ,32,32,7658206,0,0,0,0,0,0,0,0,0,32,32,7658206,0,0,0,0,0,0,0,0,0
01 16 201601,13,189,3,5,McDuffie County               ,1,1,175263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,199,3,5,Meriwether County             ,2,2,428348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,201,3,5,Miller County                 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,207,3,5,Monroe County                 ,4,4,752000,0,0,0,0,0,0,0,0,0,4,4,752000,0,0,0,0,0,0,0,0,0
01 16 201601,13,215,3,5,Muscogee County               ,17,17,3225419,0,0,0,0,0,0,0,0,0,17,17,3225419,0,0,0,0,0,0,0,0,0
01 16 201601,13,217,3,5,Newton County                 ,11,11,2482350,0,0,0,0,0,0,0,0,0,11,11,2482350,0,0,0,0,0,0,0,0,0
01 16 201601,13,227,3,5,Pickens County                ,5,5,1206250,0,0,0,0,0,0,0,0,0,4,4,1100000,0,0,0,0,0,0,0,0,0
01 16 201601,13,231,3,5,Pike County                   ,5,5,793000,0,0,0,0,0,0,0,0,0,5,5,793000,0,0,0,0,0,0,0,0,0
01 16 201601,13,235,3,5,Pulaski County                ,2,2,156583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01 16 201601,13,245,3,5,Richmond County               ,28,28,5643468,0,0,0,0,0,0,1,28,817419,1,1,400000,0,0,0,0,0,0,0,0,0
01 16 201601,13,247,3,5,Rockdale County               ,11,11,2482350,0,0,0,0,0,0,0,0,0,11,11,2482350,0,0,0,0,0,0,0,0,0
01 16 201601,13,255,3,5,Spalding County               ,15,15,1512479,0,0,0,0,0,0,0,0,0,15,15,1512479,0,0,0,0,0,0,0,0,0
01 16 201601,13,275,3,5,Thomas County                 ,6,6,1092098,0,0,0,0,0,0,0,0,0,6,6,1092098,0,0,0,0,0,0,0,0,0
01 16 201601,13,291,3,5,Union County                  ,8,8,1515000,0,0,0,0,0,0,0,0,0,8,8,1515000,0,0,0,0,0,0,0,0,0
01 16 201601,15,001,4,9,Hawaii County                 ,57,57,16806493,1,2,300000,0,0,0,0,0,0,57,57,16806493,1,2,300000,0,0,0,0,0,0
01 16 201601,15,003,4,9,Honolulu County               ,87,87,30923669,0,0,0,0,0,0,0,0,0,87,87,30923669,0,0,0,0,0,0,0,0,0
01 16 201601,15,007,4,9,Kauai County                  ,11,11,4937276,0,0,0,0,0,0,0,0,0,11,11,4937276,0,0,0,0,0,0,0,0,0
01 16 201601,15,009,4,9,Maui County                   ,16,16,4665389,0,0,0,0,0,0,0,0,0,16,16,4665389,0,0,0,0,0,0,0,0,0
